,REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,matches,company,COMPANY NAME,CITY,STATE,OWNER/MAKER
0,2454,5150,U.S.A.,2019,Tanzania,"Kokoa Kamili, batch 1",0.76,"3- B,S,C","rich cocoa, fatty, bready",3.25,"('5150 Chocolate Co.', 90)",5150 Chocolate Co.,5150 Chocolate Co.,Delray Beach,Florida,Tyler Levitetz
1,2454,5150,U.S.A.,2019,Madagascar,"Bejofo Estate, batch 1",0.76,"3- B,S,C","cocoa, blackberry, full body",3.75,"('5150 Chocolate Co.', 90)",5150 Chocolate Co.,5150 Chocolate Co.,Delray Beach,Florida,Tyler Levitetz
2,2458,5150,U.S.A.,2019,Dominican Republic,"Zorzal, batch 1",0.76,"3- B,S,C","cocoa, vegetal, savory",3.5,"('5150 Chocolate Co.', 90)",5150 Chocolate Co.,5150 Chocolate Co.,Delray Beach,Florida,Tyler Levitetz
3,2542,5150,U.S.A.,2021,Fiji,"Matasawalevu, batch 1",0.68,"3- B,S,C","chewy, off, rubbery",3.0,"('5150 Chocolate Co.', 90)",5150 Chocolate Co.,5150 Chocolate Co.,Delray Beach,Florida,Tyler Levitetz
4,2542,5150,U.S.A.,2021,India,"Anamalai, batch 1",0.68,"3- B,S,C","milk brownie, macadamia,chewy",3.5,"('5150 Chocolate Co.', 90)",5150 Chocolate Co.,5150 Chocolate Co.,Delray Beach,Florida,Tyler Levitetz
5,2546,5150,U.S.A.,2021,Venezuela,"Sur del Lago, batch 1",0.72,"3- B,S,C","fatty, earthy, moss, nutty,chalky",3.0,"('5150 Chocolate Co.', 90)",5150 Chocolate Co.,5150 Chocolate Co.,Delray Beach,Florida,Tyler Levitetz
6,2546,5150,U.S.A.,2021,Uganda,"Semuliki Forest, batch 1",0.8,"3- B,S,C","mildly bitter, basic cocoa, fatty",3.25,"('5150 Chocolate Co.', 90)",5150 Chocolate Co.,5150 Chocolate Co.,Delray Beach,Florida,Tyler Levitetz
7,1462,Acalli,U.S.A.,2015,Peru,"Chulucanas, El Platanal, batch 001",0.7,"2- B,S",yellow fruit,3.75,"('Acalli (closed)', 90)",Acalli (closed),Acalli (closed),Gretna,Louisiana,Carol Morse
8,1470,Acalli,U.S.A.,2015,Peru,"Tumbes, Norandino",0.7,"2- B,S","intense, nutty, cherry, cocoa",3.75,"('Acalli (closed)', 90)",Acalli (closed),Acalli (closed),Gretna,Louisiana,Carol Morse
9,2462,Acalli,U.S.A.,2020,Mexico,"Teapa, Tabasco, batch 2",0.74,"2- B,S","herbal, molasses, hammy",3.25,"('Acalli (closed)', 90)",Acalli (closed),Acalli (closed),Gretna,Louisiana,Carol Morse
10,2470,Acalli,U.S.A.,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",0.7,"2- B,S","hot cocoa, rich, molasses",3.5,"('Acalli (closed)', 90)",Acalli (closed),Acalli (closed),Gretna,Louisiana,Carol Morse
11,1125,Altus aka Cao Artisan,U.S.A.,2013,Venezuela,Sur del Lago,0.6,"4- B,S,C,L","sweet, moldy, off",2.5,"('Altus aka Cao Artisan', 100)",Altus aka Cao Artisan,Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
12,1125,Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,"Conacado, batch 130",0.6,"4- B,S,C,L","sandy, sweet, dairy, spice",3.0,"('Altus aka Cao Artisan', 100)",Altus aka Cao Artisan,Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
13,1129,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 101",0.8,"4- B,S,C,L","gritty, berry, mild bitter",3.25,"('Altus aka Cao Artisan', 100)",Altus aka Cao Artisan,Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
14,1133,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 154",0.6,"4- B,S,C,L","grit, sweet, caramel, fruit",3.0,"('Altus aka Cao Artisan', 100)",Altus aka Cao Artisan,Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
